Zones,GenVar
AZ_1,0.25694734432234434
AZ_2,0.2519337225274726
AZ_3,0.22344471153846154
AZ_4,0.2088478708791209
AZ_5,0.202470695970696
AZ_6,0.19676865842490845
AZ_7,0.18560428113553112
AZ_8,0.17890773809523808
AZ_9,0.1829842032967033
AZ_10,0.16984809981684987
AZ_11,0.17958882783882785
AZ_12,0.17319722985347985
AZ_13,0.16738484432234435
AZ_14,0.15332623626373626
AZ_15,0.16026270604395604
AZ_16,0.15144516941391944
AZ_17,0.15415865384615382
AZ_18,0.1481150412087912
AZ_19,0.14713301282051283
AZ_20,0.14128296703296703
AZ_21,0.14120695970695976
AZ_22,0.1354669184981685
AZ_23,0.13838518772893774
AZ_24,0.13297596153846156
AZ_25,0.12754716117216122
AZ_26,0.1334576465201465
AZ_27,0.13344780219780222
AZ_28,0.12291494963369962
AZ_29,0.13008070054945056
AZ_30,0.13362087912087914
AZ_31,0.11948717948717945
AZ_32,0.12257326007326007
AZ_33,0.11740373168498172
AZ_34,0.11530654761904767
AZ_35,0.1184749313186813
AZ_36,0.112180173992674
AZ_37,0.11113701923076924
AZ_38,0.10755380036630038
AZ_39,0.10179658882783883
AZ_40,0.10125950091575092
AZ_41,0.09601602564102564
AZ_42,0.09442937271062271
AZ_43,0.09843990384615385
AZ_44,0.09605929487179488
AZ_45,0.09658505036630041
AZ_46,0.09421840659340658
AZ_47,0.08589445970695968
AZ_48,0.08043658424908424
AZ_49,0.08421085164835163
AZ_50,0.07971840659340662
AZ_51,0.0722742673992674
AZ_52,0.0792073031135531
AZ_53,0.06853216575091575
AZ_54,0.0787099358974359
AZ_55,0.06903411172161175
AZ_56,0.0754652014652015
AZ_57,0.07385599816849817
AZ_58,0.05500103021978021
AZ_59,0.0741831501831502
AZ_60,0.06215178571428571
AZ_61,0.06277495421245421
AZ_62,0.05231856684981685
AZ_63,0.05257635073260074
CO_1,0.3669073946886447
CO_2,0.3341298076923077
CO_3,0.31453846153846154
CO_4,0.30154899267399254
CO_5,0.2879726419413919
CO_6,0.27405025183150183
CO_7,0.2564882097069598
CO_8,0.2403057463369963
CO_9,0.2279253663003663
CO_10,0.21375171703296703
CO_11,0.20325148809523808
CO_12,0.1970489926739927
CO_13,0.18954338369963372
CO_14,0.17665602106227107
CO_15,0.17062488553113558
CO_16,0.1642158882783883
CO_17,0.15563541666666666
CO_18,0.15120501373626372
CO_19,0.1425550595238095
CO_20,0.12691872710622712
CO_21,0.12118543956043955
CO_22,0.11996565934065942
CO_23,0.10266174450549449
CO_24,0.09972596153846154
CO_25,0.09784638278388282
CO_26,0.08503571428571426
CO_27,0.084457760989011
CO_28,0.08342181776556774
CO_29,0.07108081501831502
CO_30,0.05757394688644689
CO_31,0.052112293956043956
CO_32,0.04281994047619048
ID_1,0.31025721153846153
ID_2,0.2956585393772893
ID_3,0.2806662087912086
ID_4,0.26642891483516495
ID_5,0.25669448260073263
ID_6,0.24597081043956048
ID_7,0.2375840201465201
ID_8,0.23158653846153845
ID_9,0.22156032509157514
ID_10,0.22150789835164833
ID_11,0.2151547619047619
ID_12,0.20901614010989011
ID_13,0.2054005265567765
ID_14,0.20091620879120886
ID_15,0.19151339285714283
ID_16,0.1829183836996337
ID_17,0.17335874542124546
ID_18,0.16697985347985356
ID_19,0.1619004120879121
ID_20,0.1522975045787546
ID_21,0.14932795329670334
ID_22,0.14317983058608058
ID_23,0.13519631410256405
ID_24,0.127582532051282
ID_25,0.11777930402930403
ID_26,0.11446462912087912
