Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12
,,,,,,,,39,13555.0,11627.0,3290.0,1871.0,3845.0,5774.0,19654.0,25908.0,3598.0,18383.0,4744.0,2937.0
,,,,,,,,40,13772.0,11953.0,3340.0,1923.0,3902.0,5797.0,19584.0,26078.0,3571.0,18266.0,4779.0,3014.0
,,,,,,,,41,14492.0,12761.0,3494.0,2031.0,4157.0,6066.0,20073.0,27390.0,3641.0,18627.0,4980.0,3187.0
,,,,,,,,42,14975.0,12684.0,3593.0,2063.0,4184.0,6447.0,21653.0,28768.0,3933.0,20036.0,5080.0,3172.0
,,,,,,,,43,14707.0,12410.0,3496.0,2001.0,4119.0,6428.0,21534.0,28581.0,3897.0,19838.0,5016.0,3118.0
,,,,,,,,44,14362.0,12078.0,3432.0,1988.0,4039.0,6346.0,21017.0,28107.0,3790.0,19353.0,4932.0,3074.0
,,,,,,,,45,13741.0,11537.0,3280.0,1902.0,3861.0,6229.0,20361.0,27206.0,3669.0,18752.0,4758.0,2979.0
,,,,,,,,46,12779.0,10901.0,3073.0,1759.0,3586.0,6011.0,19339.0,25757.0,3478.0,17830.0,4544.0,2813.0
,,,,,,,,47,11879.0,10269.0,2849.0,1654.0,3310.0,5720.0,17898.0,23894.0,3202.0,16546.0,4287.0,2683.0
,,,,,,,,48,11318.0,9876.0,2699.0,1584.0,3138.0,5411.0,16452.0,22083.0,2947.0,15242.0,4066.0,2560.0
,,,,,,,,49,11096.0,9676.0,2600.0,1531.0,3026.0,5173.0,15430.0,20949.0,2760.0,14337.0,3914.0,2488.0
,,,,,,,,50,10886.0,9571.0,2559.0,1521.0,2974.0,5061.0,14780.0,20288.0,2641.0,13745.0,3847.0,2488.0
,,,,,,,,51,10871.0,9624.0,2543.0,1547.0,2985.0,4992.0,14502.0,20170.0,2603.0,13510.0,3833.0,2463.0
,,,,,,,,52,11150.0,9884.0,2602.0,1574.0,3073.0,4976.0,14427.0,20369.0,2593.0,13436.0,3864.0,2505.0
,,,,,,,,53,11897.0,10337.0,2751.0,1639.0,3277.0,5058.0,14739.0,21326.0,2633.0,13712.0,4014.0,2577.0
,,,,,,,,54,13005.0,11058.0,3000.0,1790.0,3507.0,5286.0,15643.0,23504.0,2796.0,14489.0,4346.0,2793.0
,,,,,,,,55,13265.0,11304.0,3250.0,1932.0,3640.0,5441.0,17018.0,26289.0,3037.0,15705.0,4610.0,2937.0
,,,,,,,,56,13202.0,11459.0,3359.0,1969.0,3739.0,5480.0,17983.0,27886.0,3215.0,16624.0,4795.0,3017.0
,,,,,,,,57,13260.0,11518.0,3400.0,1993.0,3850.0,5558.0,18789.0,27884.0,3374.0,17384.0,4894.0,3032.0
,,,,,,,,58,13369.0,11580.0,3413.0,1987.0,3889.0,5661.0,19242.0,27884.0,3463.0,17801.0,4911.0,3046.0
,,,,,,,,59,13455.0,11552.0,3395.0,1992.0,3906.0,5777.0,19516.0,27941.0,3518.0,18076.0,4898.0,3038.0
,,,,,,,,60,13489.0,11472.0,3371.0,1959.0,3889.0,5777.0,19555.0,27753.0,3544.0,18177.0,4837.0,2988.0
,,,,,,,,61,13512.0,11499.0,3320.0,1950.0,3898.0,5785.0,19426.0,27399.0,3536.0,18115.0,4830.0,2988.0
,,,,,,,,62,13612.0,11417.0,3298.0,1963.0,3858.0,5759.0,19294.0,26997.0,3522.0,17976.0,4795.0,2954.0
,,,,,,,,63,13663.0,11451.0,3272.0,1951.0,3834.0,5730.0,19151.0,26779.0,3504.0,17876.0,4757.0,2925.0
,,,,,,,,64,13815.0,11716.0,3310.0,1974.0,3870.0,5718.0,18986.0,26867.0,3466.0,17720.0,4791.0,3003.0
,,,,,,,,65,14354.0,12415.0,3507.0,2068.0,4127.0,6010.0,19378.0,28185.0,3524.0,18010.0,4970.0,3138.0
,,,,,,,,66,14796.0,12350.0,3614.0,2101.0,4138.0,6418.0,21039.0,29545.0,3822.0,19482.0,5074.0,3150.0
,,,,,,,,67,14497.0,12137.0,3570.0,2080.0,4061.0,6366.0,20930.0,29187.0,3787.0,19336.0,5018.0,3092.0
,,,,,,,,68,14197.0,11908.0,3520.0,2050.0,3998.0,6277.0,20427.0,28600.0,3670.0,18860.0,4904.0,3049.0
,,,,,,,,69,13755.0,11409.0,3416.0,1981.0,3834.0,6169.0,19807.0,27878.0,3574.0,18311.0,4827.0,2957.0
,,,,,,,,70,13008.0,10855.0,3239.0,1874.0,3576.0,6017.0,18991.0,26601.0,3422.0,17548.0,4592.0,2825.0
,,,,,,,,71,12127.0,10293.0,3060.0,1750.0,3326.0,5794.0,17788.0,24866.0,3192.0,16395.0,4355.0,2704.0
,,,,,,,,72,11513.0,9820.0,2895.0,1658.0,3123.0,5482.0,16452.0,23104.0,2935.0,15211.0,4129.0,2580.0
,,,,,,,,73,11093.0,9518.0,2746.0,1617.0,3012.0,5248.0,15639.0,21872.0,2797.0,14507.0,3980.0,2511.0
,,,,,,,,74,10826.0,9318.0,2774.0,1592.0,2947.0,5085.0,15043.0,21193.0,2689.0,13972.0,3867.0,2442.0
,,,,,,,,75,10746.0,9299.0,2786.0,1589.0,2939.0,4990.0,14603.0,20949.0,2603.0,13562.0,3868.0,2436.0
,,,,,,,,76,10827.0,9436.0,2829.0,1632.0,2973.0,4954.0,14325.0,21060.0,2564.0,13323.0,3902.0,2470.0
,,,,,,,,77,11117.0,9601.0,2948.0,1686.0,3074.0,5008.0,14234.0,21560.0,2536.0,13203.0,3976.0,2505.0
,,,,,,,,78,11618.0,9876.0,3107.0,1752.0,3155.0,5054.0,14465.0,22793.0,2576.0,13407.0,4124.0,2574.0
,,,,,,,,79,11964.0,10156.0,3320.0,1841.0,3245.0,5015.0,14933.0,24239.0,2658.0,13771.0,4296.0,2683.0
,,,,,,,,80,12440.0,10626.0,3469.0,1913.0,3376.0,5035.0,15208.0,25732.0,2711.0,14009.0,4473.0,2795.0
,,,,,,,,81,12928.0,10968.0,3554.0,1992.0,3509.0,5191.0,15947.0,27099.0,2837.0,14658.0,4688.0,2899.0
,,,,,,,,82,13287.0,11097.0,3561.0,2025.0,3584.0,5373.0,16567.0,28060.0,2986.0,15248.0,4791.0,2943.0
,,,,,,,,83,13470.0,11105.0,3509.0,2038.0,3592.0,5508.0,16929.0,28300.0,3063.0,15568.0,4811.0,2946.0
,,,,,,,,84,13418.0,10909.0,3364.0,1979.0,3534.0,5592.0,17137.0,28037.0,3113.0,15798.0,4702.0,2865.0
,,,,,,,,85,13236.0,10551.0,3173.0,1921.0,3459.0,5606.0,17089.0,27131.0,3125.0,15848.0,4565.0,2750.0
,,,,,,,,86,12992.0,10242.0,3011.0,1838.0,3375.0,5577.0,16864.0,25867.0,3110.0,15729.0,4367.0,2672.0
,,,,,,,,87,12810.0,10055.0,2895.0,1789.0,3310.0,5511.0,16598.0,24844.0,3071.0,15549.0,4249.0,2632.0
,,,,,,,,88,12599.0,10250.0,2870.0,1798.0,3300.0,5455.0,16406.0,24164.0,3044.0,15382.0,4174.0,2672.0
,,,,,,,,89,12743.0,10847.0,3021.0,1866.0,3499.0,5614.0,16524.0,24647.0,3052.0,15503.0,4337.0,2795.0
,,,,,,,,90,13004.0,10816.0,3136.0,1868.0,3512.0,5854.0,17569.0,24954.0,3238.0,16449.0,4463.0,2813.0
,,,,,,,,91,12808.0,10779.0,3166.0,1863.0,3478.0,5735.0,17379.0,24665.0,3193.0,16254.0,4452.0,2830.0
,,,,,,,,92,12596.0,10768.0,3164.0,1855.0,3459.0,5656.0,17106.0,24433.0,3123.0,15933.0,4431.0,2822.0
,,,,,,,,93,12347.0,10594.0,3143.0,1826.0,3392.0,5601.0,16892.0,24207.0,3073.0,15698.0,4430.0,2795.0
,,,,,,,,94,11867.0,10436.0,3058.0,1759.0,3243.0,5563.0,16602.0,23593.0,3006.0,15408.0,4327.0,2741.0
,,,,,,,,95,11306.0,10106.0,2933.0,1695.0,3092.0,5437.0,15952.0,22455.0,2869.0,14812.0,4105.0,2641.0
,,,,,,,,96,10971.0,9878.0,2837.0,1625.0,2968.0,5242.0,15152.0,21352.0,2722.0,14066.0,4005.0,2617.0
,,,,,,,,97,10783.0,9710.0,2812.0,1599.0,2895.0,5073.0,14375.0,20656.0,2567.0,13354.0,3933.0,2560.0
,,,,,,,,98,10667.0,9701.0,2800.0,1602.0,2858.0,4955.0,14084.0,20224.0,2514.0,13070.0,3884.0,2552.0
,,,,,,,,99,10671.0,9783.0,2818.0,1602.0,2879.0,4923.0,14017.0,20077.0,2502.0,12998.0,3901.0,2571.0
,,,,,,,,100,10878.0,9972.0,2895.0,1629.0,2915.0,4893.0,13924.0,20269.0,2484.0,12909.0,3923.0,2612.0
,,,,,,,,101,11254.0,10290.0,3005.0,1692.0,3041.0,4952.0,14046.0,20988.0,2507.0,13000.0,4042.0,2649.0
,,,,,,,,102,11791.0,10699.0,3181.0,1777.0,3120.0,5067.0,14640.0,22174.0,2604.0,13507.0,4224.0,2778.0
,,,,,,,,103,11941.0,10853.0,3327.0,1861.0,3207.0,5040.0,15189.0,23432.0,2695.0,13972.0,4317.0,2833.0
,,,,,,,,104,12079.0,10933.0,3392.0,1888.0,3326.0,4987.0,15479.0,24490.0,2771.0,14280.0,4431.0,2879.0
,,,,,,,,105,12185.0,11070.0,3447.0,1916.0,3407.0,5172.0,16102.0,25287.0,2895.0,14874.0,4545.0,2922.0
,,,,,,,,106,12265.0,10952.0,3413.0,1927.0,3456.0,5286.0,16513.0,25917.0,2991.0,15303.0,4562.0,2899.0
,,,,,,,,107,12325.0,10883.0,3322.0,1914.0,3495.0,5354.0,16768.0,26165.0,3054.0,15618.0,4549.0,2890.0
,,,,,,,,108,12379.0,10709.0,3227.0,1879.0,3450.0,5383.0,16893.0,26189.0,3093.0,15784.0,4542.0,2830.0
,,,,,,,,109,12435.0,10567.0,3130.0,1860.0,3420.0,5391.0,16905.0,25967.0,3114.0,15847.0,4472.0,2795.0
,,,,,,,,110,12573.0,10512.0,3052.0,1840.0,3398.0,5379.0,16939.0,25683.0,3133.0,15930.0,4416.0,2756.0
,,,,,,,,111,12769.0,10576.0,3055.0,1861.0,3397.0,5385.0,16983.0,25461.0,3143.0,15985.0,4399.0,2781.0
,,,,,,,,112,13028.0,11216.0,3146.0,1940.0,3499.0,5420.0,17120.0,25736.0,3167.0,16070.0,4435.0,2899.0
,,,,,,,,113,13716.0,12258.0,3394.0,2020.0,3832.0,5751.0,17706.0,26768.0,3255.0,16540.0,4730.0,3083.0
,,,,,,,,114,14166.0,12155.0,3465.0,2026.0,3881.0,6154.0,19520.0,27342.0,3570.0,18148.0,4839.0,3083.0
,,,,,,,,115,13887.0,11964.0,3437.0,1995.0,3841.0,6110.0,19437.0,26797.0,3541.0,18034.0,4781.0,3017.0
,,,,,,,,116,13607.0,11774.0,3381.0,1955.0,3799.0,6047.0,19005.0,26031.0,3462.0,17603.0,4669.0,2963.0
,,,,,,,,117,13239.0,11417.0,3286.0,1887.0,3679.0,5978.0,18503.0,25271.0,3357.0,17126.0,4562.0,2905.0
,,,,,,,,118,12607.0,10907.0,3127.0,1799.0,3490.0,5853.0,17886.0,24147.0,3229.0,16568.0,4375.0,2778.0
,,,,,,,,119,11897.0,10351.0,2958.0,1704.0,3288.0,5685.0,16901.0,22754.0,3044.0,15641.0,4180.0,2672.0
,,,,,,,,120,11297.0,10012.0,2826.0,1650.0,3120.0,5403.0,15700.0,21276.0,2816.0,14537.0,3994.0,2594.0
,,,,,,,,121,10940.0,9783.0,2749.0,1582.0,3037.0,5172.0,14723.0,20281.0,2636.0,13652.0,3858.0,2511.0
,,,,,,,,122,10692.0,9625.0,2703.0,1577.0,2994.0,5040.0,14321.0,19616.0,2569.0,13290.0,3775.0,2485.0
,,,,,,,,123,10579.0,9590.0,2717.0,1545.0,2987.0,4958.0,14091.0,19280.0,2517.0,13068.0,3747.0,2460.0
,,,,,,,,124,10653.0,9726.0,2737.0,1548.0,3037.0,4953.0,14102.0,19231.0,2519.0,13054.0,3760.0,2493.0
,,,,,,,,125,10915.0,9823.0,2815.0,1578.0,3137.0,4953.0,14190.0,19574.0,2537.0,13127.0,3811.0,2508.0
,,,,,,,,126,11344.0,10089.0,2961.0,1637.0,3257.0,5014.0,14500.0,20452.0,2593.0,13394.0,3958.0,2574.0
,,,,,,,,127,11486.0,10335.0,3112.0,1715.0,3342.0,5014.0,15085.0,21644.0,2688.0,13849.0,4070.0,2661.0
,,,,,,,,128,11923.0,10754.0,3249.0,1817.0,3443.0,5020.0,15478.0,23052.0,2774.0,14208.0,4260.0,2756.0
,,,,,,,,129,12345.0,11031.0,3344.0,1853.0,3500.0,5179.0,16198.0,24357.0,2919.0,14918.0,4410.0,2828.0
,,,,,,,,130,12674.0,11152.0,3351.0,1864.0,3504.0,5317.0,16752.0,25150.0,3041.0,15484.0,4513.0,2839.0
,,,,,,,,131,12889.0,11125.0,3324.0,1856.0,3487.0,5397.0,16759.0,25235.0,3046.0,15567.0,4524.0,2813.0
,,,,,,,,132,12920.0,11059.0,3252.0,1841.0,3446.0,5418.0,16823.0,24961.0,3074.0,15687.0,4466.0,2795.0
,,,,,,,,133,12999.0,10869.0,3187.0,1833.0,3406.0,5417.0,16853.0,24458.0,3097.0,15791.0,4372.0,2756.0
,,,,,,,,134,13064.0,10813.0,3103.0,1798.0,3376.0,5388.0,16822.0,24040.0,3110.0,15782.0,4325.0,2727.0
,,,,,,,,135,13214.0,10862.0,3109.0,1821.0,3385.0,5395.0,16834.0,23800.0,3130.0,15787.0,4304.0,2741.0
,,,,,,,,136,13439.0,11259.0,3181.0,1887.0,3489.0,5418.0,16956.0,24176.0,3134.0,15865.0,4406.0,2879.0
,,,,,,,,137,14049.0,12098.0,3407.0,2002.0,3831.0,5728.0,17547.0,25821.0,3222.0,16365.0,4661.0,3006.0
,,,,,,,,138,14425.0,12062.0,3477.0,2006.0,3907.0,6149.0,19361.0,26968.0,3541.0,17922.0,4760.0,3023.0
,,,,,,,,139,14107.0,11825.0,3410.0,1961.0,3874.0,6112.0,19402.0,26717.0,3524.0,17950.0,4673.0,2954.0
,,,,,,,,140,13749.0,11566.0,3322.0,1920.0,3823.0,6011.0,19005.0,26332.0,3454.0,17599.0,4592.0,2905.0
,,,,,,,,141,13287.0,11146.0,3249.0,1821.0,3701.0,5973.0,18549.0,25761.0,3350.0,17121.0,4555.0,2807.0
,,,,,,,,142,12615.0,10699.0,3085.0,1756.0,3511.0,5869.0,17876.0,24840.0,3222.0,16509.0,4411.0,2730.0
,,,,,,,,143,11820.0,10115.0,2893.0,1687.0,3314.0,5671.0,16814.0,23444.0,3008.0,15553.0,4183.0,2600.0
,,,,,,,,144,11277.0,9609.0,2766.0,1617.0,3159.0,5416.0,15639.0,22151.0,2794.0,14471.0,4047.0,2517.0
,,,,,,,,145,10919.0,9383.0,2677.0,1563.0,3070.0,5208.0,14654.0,21171.0,2612.0,13585.0,3911.0,2448.0
,,,,,,,,146,10709.0,9276.0,2649.0,1553.0,3016.0,5060.0,14132.0,20669.0,2519.0,13117.0,3860.0,2416.0
,,,,,,,,147,10615.0,9241.0,2634.0,1531.0,3017.0,5002.0,13875.0,20481.0,2473.0,12864.0,3846.0,2425.0
,,,,,,,,148,10653.0,9355.0,2674.0,1565.0,3044.0,4979.0,13783.0,20595.0,2451.0,12751.0,3874.0,2439.0
,,,,,,,,149,10831.0,9394.0,2745.0,1575.0,3124.0,4949.0,13827.0,20995.0,2459.0,12774.0,3935.0,2465.0
,,,,,,,,150,11204.0,9681.0,2890.0,1662.0,3211.0,5003.0,14156.0,21952.0,2513.0,13052.0,4071.0,2566.0
,,,,,,,,151,11386.0,9884.0,3057.0,1742.0,3256.0,4960.0,14471.0,23321.0,2562.0,13269.0,4204.0,2655.0
,,,,,,,,152,11771.0,10316.0,3210.0,1808.0,3324.0,4961.0,14804.0,24746.0,2621.0,13567.0,4352.0,2753.0
