region,Resource,technology,cluster,R_ID,Zone,STOR,SOLAR,BIOPOWER,NONCCS_COAL,CCS_COAL,GEOTHERMAL,WIND,NONCCS_GAS,CCS_GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,BATTERY,PUMPED,FLYWHEEL,THERMALSTOR,NONDISP,RENEW,CES,OTHER,Commit,New_Build,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,VRE,THERM,MUST_RUN,FLEX,Existing_Cap_MWh,Var_Cost,CO2_Rate,Start_Cost,CO2_Per_Start,MinInter,MinCoef,MaxInter,MaxCoef
AZ,AZ_batteries_1,batteries,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,180.0,11.0,180.004,16.364,0.0,0.0,0.6097,0.0,0.0,0.0,0.0,0.0,1.13,None,0.0,0.92,0.92,1.0,10.0,1.0,1.0,0,0,0,0,0,0,581.5799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_conventional_hydroelectric_1,conventional_hydroelectric,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2765.5,29.0,2765.498,95.362,0.0,0.0,4.456,0.0,0.0,0.0,0.0,0.0,9.1,None,0.004,1.0,1.0,0.0,0.0,0.083,0.083,0,0,0,0,0,0,5990.168863,0.0,0.0,0.0,0.0,-0.0112,0.5227,0.3774,1.0063
AZ,AZ_conventional_steam_coal_1,conventional_steam_coal,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,832.0,2.0,832.0,416.0,0.0,0.0,5.6085,0.0,0.0,1.78,117.0,13.7,10.13,mountain_coal,0.3,1.0,1.0,0.0,0.0,0.25,0.25,24,24,0,1,0,0,0.0,0.0016367200000000001,0.9676176,0.0136728,1.3086239999999998,0.0,0.0,0.0,0.0
AZ,AZ_hydroelectric_pumped_storage_1,hydroelectric_pumped_storage,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,216.3,6.0,216.3,36.05,0.0,0.0,3.846,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.866,0.866,1.0,10.0,1.0,1.0,0,0,0,0,0,0,1722.3969000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,586.0,1.0,586.0,586.0,0.0,0.0,0.927,0.0,0.0,3.42,87.0,2.0,8.17,mountain_naturalgas,0.461,1.0,1.0,0.0,0.0,0.64,0.64,6,6,0,1,0,0,0.0,0.00411654,0.4335002,0.009623999999999999,0.10612,0.0,0.0,0.0,0.0
AZ,AZ_natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1082.4,17.0,1082.407,63.671,0.0,0.0,0.9363,0.0,0.0,4.5,113.0,3.5,15.3,mountain_naturalgas,0.244,1.0,1.0,0.0,0.0,0.8,0.8,6,6,0,1,0,0,0.0,0.0075186,0.811818,0.012917000000000001,0.18571000000000001,0.0,0.0,0.0,0.0
AZ,AZ_onshore_wind_turbine_1,onshore_wind_turbine,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,63.0,1.0,63.0,63.0,0.0,0.0,4.2141,0.0,0.0,0.0,0.0,0.0,9.1,None,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_other_peaker_1,other_peaker,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,380.0,10.0,380.0,38.0,0.0,0.0,1.1394,0.0,0.0,4.37,117.0,3.5,9.24,None,0.09,1.0,1.0,0.0,0.0,0.9,0.9,6,6,0,1,0,0,0.0,0.000437,0.0,0.0117,0.0,0.0,0.0,0.0,0.0
AZ,AZ_small_hydroelectric_1,small_hydroelectric,1,9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,21.1,9.0,75.402,2.341,0.0,0.0,4.456,0.0,0.0,0.0,0.0,0.0,9.11,None,0.172,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_solar_photovoltaic_1,solar_photovoltaic,1,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1898.8,104.0,1898.832,18.258,0.0,0.0,1.5246,0.0,0.0,0.0,0.0,0.0,9.12,None,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_solar_thermal_with_energy_storage_1,solar_thermal_with_energy_storage,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,280.0,2.0,280.0,140.0,0.0,0.0,6.7612,0.0,0.0,0.0,0.0,0.0,9.1,None,0.0,0.92,0.92,1.0,10.0,1.0,1.0,0,0,0,0,0,0,1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,CO_batteries_1,batteries,1,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,2.0,5.0,2.5,0.0,0.0,0.6097,0.0,0.0,0.0,0.0,0.0,9.21,None,0.0,0.92,0.92,1.0,10.0,1.0,1.0,0,0,0,0,0,0,16.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,CO_conventional_hydroelectric_1,conventional_hydroelectric,1,13,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,483.2,15.0,483.195,32.213,0.0,0.0,4.456,0.0,0.0,0.0,0.0,0.0,9.11,None,0.0,1.0,1.0,0.0,0.0,0.083,0.066,0,0,0,0,0,0,972.7628659,0.0,0.0,0.0,0.0,-0.1615,0.8602,0.328,0.7374
CO,CO_conventional_steam_coal_1,conventional_steam_coal,1,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,766.0,1.0,766.0,766.0,0.0,0.0,5.577,0.0,0.0,1.78,117.0,13.7,9.94,mountain_coal,0.3,1.0,1.0,0.0,0.0,0.25,0.25,24,24,0,1,0,0,0.0,0.0016093599999999998,0.9494687999999999,0.0136728,1.3086239999999998,0.0,0.0,0.0,0.0
CO,CO_hydroelectric_pumped_storage_1,hydroelectric_pumped_storage,1,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,562.5,5.0,562.5,112.5,0.0,0.0,3.846,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.866,0.866,1.0,10.0,1.0,1.0,0,0,0,0,0,0,4479.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,CO_natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle,1,16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,788.0,3.0,788.001,262.667,0.0,0.0,1.0784,0.0,0.0,3.63,87.0,2.0,7.1,mountain_naturalgas,0.416,1.0,1.0,0.0,0.0,0.64,0.64,6,6,0,1,0,0,0.0,0.0036432,0.376726,0.009623999999999999,0.10612,0.0,0.0,0.0,0.0
CO,CO_natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine,1,17,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,220.0,3.0,219.999,73.333,0.0,0.0,1.1033,0.0,0.0,4.5,113.0,3.5,10.58,mountain_naturalgas,0.4,1.0,1.0,0.0,0.0,0.8,0.8,6,6,0,1,0,0,0.0,0.00533796,0.5613748000000001,0.012917000000000001,0.18571000000000001,0.0,0.0,0.0,0.0
CO,CO_small_hydroelectric_1,small_hydroelectric,1,18,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,70.6,50.0,196.4,1.413,0.0,0.0,4.456,0.0,0.0,0.0,0.0,0.0,9.1,None,0.027,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,CO_solar_photovoltaic_1,solar_photovoltaic,1,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,683.4,70.0,683.41,9.763,0.0,0.0,1.5246,0.0,0.0,0.0,0.0,0.0,9.15,None,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,ID_conventional_hydroelectric_1,conventional_hydroelectric,1,20,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1411.1,36.0,1411.092,39.197,0.0,0.0,4.456,0.0,0.0,0.0,0.0,0.0,9.1,None,0.0,1.0,1.0,0.0,0.0,0.083,0.066,0,0,0,0,0,0,10420.21338,0.0,0.0,0.0,0.0,-0.1615,0.8602,0.328,0.7374
ID,ID_conventional_steam_coal_1,conventional_steam_coal,1,21,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,1.0,5.0,5.0,0.0,0.0,6.6873,0.0,0.0,1.78,117.0,13.7,9.21,mountain_coal,0.3,1.0,1.0,0.0,0.0,0.25,0.25,24,24,0,1,0,0,0.0,0.00150424,0.8797392,0.0136728,1.3086239999999998,0.0,0.0,0.0,0.0
