R_ID,Zone,Region,Resource,NOS,OptValues
457,11,UT,utilitypv_daggett_mid_none_0_2,1,0.0
458,11,UT,utilitypv_daggett_mid_none_0_2,1,0.0
459,11,UT,utilitypv_daggett_mid_none_0_2,1,0.0
460,12,WY,csp_class5_mid,1,0.0
461,12,WY,commpv_daggett_mid,1,0.0
462,12,WY,respv_daggett_mid,1,0.0
473,12,WY,landbasedwind_ltrg4_mid_none,1,6168.2
474,12,WY,landbasedwind_ltrg4_mid_none,1,9793.6
475,12,WY,landbasedwind_ltrg4_mid_none,1,9684.681836142548
476,12,WY,landbasedwind_ltrg4_mid_none,1,0.0
477,12,WY,landbasedwind_ltrg4_mid_none,1,0.0
478,12,WY,utilitypv_daggett_mid_none_0_2,1,0.0
479,12,WY,utilitypv_daggett_mid_none_0_2,1,0.0
480,12,WY,utilitypv_daggett_mid_none_0_2,1,0.0
7,1,AZ,onshore_wind_turbine,0,63.0
9,1,AZ,small_hydroelectric,0,75.402
10,1,AZ,solar_photovoltaic,0,1898.8
18,2,CO,small_hydroelectric,0,196.4
19,2,CO,solar_photovoltaic,0,683.4
22,3,ID,geothermal,0,12.2
25,3,ID,small_hydroelectric,0,400.768
26,3,ID,solar_photovoltaic,0,230.0
30,4,MT,small_hydroelectric,0,103.796
31,4,MT,solar_photovoltaic,0,17.0
34,5,NM,geothermal,0,13.8
38,5,NM,onshore_wind_turbine,0,526.0
39,5,NM,small_hydroelectric,0,82.701
40,5,NM,solar_photovoltaic,0,348.9
44,6,NV,geothermal,0,741.8
46,6,NV,small_hydroelectric,0,11.2
47,6,NV,solar_photovoltaic,0,2415.4
52,7,NorCal,geothermal,0,889.4
57,7,NorCal,small_hydroelectric,0,732.915
58,7,NorCal,solar_photovoltaic,0,3612.5
62,8,PNW,geothermal,0,30.8
66,8,PNW,onshore_wind_turbine,0,127.2
68,8,PNW,small_hydroelectric,0,833.955
69,8,PNW,solar_photovoltaic,0,460.2
71,9,SD_IID,geothermal,0,680.1
76,9,SD_IID,small_hydroelectric,0,75.394
77,9,SD_IID,solar_photovoltaic,0,2329.7
81,10,SoCal,geothermal,0,291.0
85,10,SoCal,onshore_wind_turbine,0,45.7
87,10,SoCal,small_hydroelectric,0,384.438
88,10,SoCal,solar_photovoltaic,0,6850.2
89,10,SoCal,solar_thermal_without_energy_storage,0,849.8
92,11,UT,geothermal,0,71.0
96,11,UT,small_hydroelectric,0,100.009
97,11,UT,solar_photovoltaic,0,1198.7
102,12,WY,onshore_wind_turbine,0,1500.0
104,12,WY,small_hydroelectric,0,72.8
105,12,WY,solar_photovoltaic,0,92.0
